[2022-07-27T17:45:39.045] [WARN] warnings - URL: /rutaQueNoExiste, METODO: GET
[2022-07-27T17:45:44.954] [WARN] warnings - URL: /otraRutaQueNoExiste, METODO: GET
[2022-07-27T17:46:38.468] [WARN] warnings - URL: /otraRutaQueNoExiste, METODO: GET
[2022-07-27T17:46:40.580] [WARN] warnings - URL: /jhjh, METODO: GET
[2022-07-27T17:51:50.458] [WARN] warnings - URL: /jhjh, METODO: GET
[2022-08-04T17:27:14.091] [WARN] warnings - URL: /socket.io/socket.io.js, METODO: GET
[2022-08-04T17:27:18.481] [WARN] warnings - URL: /socket.io/socket.io.js, METODO: GET
[2022-08-04T17:28:11.073] [WARN] warnings - URL: /productosgfedgdfrgdh, METODO: GET
[2022-08-04T17:29:12.285] [WARN] warnings - URL: /socket.io/socket.io.js, METODO: GET
[2022-08-04T17:29:13.451] [WARN] warnings - URL: /socket.io/socket.io.js, METODO: GET
[2022-08-04T17:29:13.524] [WARN] warnings - URL: /carrito/62ec2649753778972e7d9914/images/avatar_1659632660870.png, METODO: GET
[2022-08-04T17:30:27.598] [WARN] warnings - URL: /socket.io/socket.io.js, METODO: GET
[2022-08-04T17:30:27.664] [WARN] warnings - URL: /carrito/62ec2649753778972e7d9914/images/avatar_1659632660870.png, METODO: GET
[2022-08-04T17:30:37.566] [WARN] warnings - URL: /socket.io/socket.io.js, METODO: GET
[2022-08-04T17:30:41.999] [WARN] warnings - URL: /socket.io/socket.io.js, METODO: GET
[2022-08-04T17:30:42.046] [WARN] warnings - URL: /carrito/62ec2649753778972e7d9914/images/avatar_1659632660870.png, METODO: GET
[2022-08-04T17:34:11.409] [WARN] warnings - URL: /socket.io/socket.io.js, METODO: GET
[2022-08-04T17:34:13.046] [WARN] warnings - URL: /socket.io/socket.io.js, METODO: GET
[2022-08-04T17:34:13.079] [WARN] warnings - URL: /carrito/62ec2649753778972e7d9914/images/avatar_1659632660870.png, METODO: GET
[2022-08-04T17:34:30.502] [WARN] warnings - URL: /socket.io/socket.io.js, METODO: GET
[2022-08-04T17:34:32.546] [WARN] warnings - URL: /socket.io/socket.io.js, METODO: GET
[2022-08-04T17:35:18.441] [WARN] warnings - URL: /productos/images/avatar_1659632660870.png, METODO: GET
[2022-08-04T18:24:00.289] [WARN] warnings - URL: /micuenta, METODO: GET
