[2022-08-10T14:58:03.427] [WARN] warnings - URL: /productos/categoria/malbec, METODO: GET
[2022-08-10T15:01:45.990] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:02:07.396] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:02:11.945] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:02:26.802] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:03:25.142] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:04:08.204] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:04:27.810] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:05:12.111] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:05:34.272] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:05:58.429] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:19:24.866] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:19:28.302] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:21:25.083] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:21:48.911] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:21:50.620] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:21:51.791] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:21:53.073] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:21:54.382] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:21:56.032] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:22:27.467] [WARN] warnings - URL: /productos/categoria/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:30:01.298] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:30:35.619] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:31:18.931] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:31:25.419] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:32:43.804] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:33:04.783] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:33:10.913] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:35:46.447] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:35:46.992] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T15:35:57.644] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:36:08.909] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:36:09.021] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T15:37:05.693] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:37:05.797] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T15:37:29.754] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:37:29.817] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T15:37:36.016] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:37:36.088] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T15:38:36.744] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T15:38:36.839] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T15:39:31.780] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T16:01:09.754] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
[2022-08-10T16:48:36.901] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T16:49:22.840] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T16:49:32.342] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T16:49:56.837] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T16:50:02.756] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T16:50:21.801] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T16:54:47.237] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T16:57:50.510] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T17:06:53.222] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T17:06:56.033] [WARN] warnings - URL: /images/, METODO: GET
[2022-08-10T17:10:21.750] [WARN] warnings - URL: /productos/images/avatar_1659649025190.png, METODO: GET
